"CollectionNumber","Year","Paper","OriginalQuestion","Type","Tags","Reason"
"270","2023","新高考II卷","16","fill_blank","三角函数","核心考点为三角函数的图象与性质，根据正弦函数零点间距求参数。"
"271","2023","新高考II卷","17","solution","三角形、三角函数","核心考点为解三角形，涉及正弦定理、余弦定理及面积公式。"
"272","2023","新高考II卷","20","solution","向量","向量共线条件用于立体几何"
"273","2023","新高考II卷","22","solution","三角函数","三角函数不等式证明及极值问题"
"274","2023","新高考I卷","3","single_choice","向量","核心考点为向量垂直的坐标运算，求参数关系。"
"275","2023","新高考I卷","6","single_choice","三角函数","两切线夹角转化为三角函数求值"
"276","2023","新高考I卷","8","single_choice","三角函数","核心考点为三角恒等变换，利用和差公式求二倍角余弦。"
"277","2023","新高考I卷","15","fill_blank","三角函数","核心考点为余弦函数的零点分布，求参数范围。"
"278","2023","新高考I卷","16","fill_blank","向量","向量垂直和共线条件求离心率"
"279","2023","新高考I卷","17","solution","三角形、三角函数","核心考点为解三角形，利用正弦定理、三角恒等变换求边和高。"
"280","2024","北京卷","5","single_choice","向量","核心考点为向量数量积的运算及充要条件判断。"
"281","2024","北京卷","6","single_choice","三角函数","核心考点为正弦函数的周期与最值，求角频率。"
"282","2024","北京卷","12","fill_blank","三角函数","核心考点为三角函数终边对称性及余弦函数最值。"
"283","2024","北京卷","16","solution","三角形、三角函数","核心考点为解三角形，利用正弦定理、三角恒等变换求角及面积。"
"284","2024","北京卷","20","solution","三角形","三角形面积关系求参数"
"285","2024","全国甲卷-理科","6","single_choice","三角函数","含三角函数的导数求切线"
"286","2024","全国甲卷-理科","7","single_choice","三角函数","含三角函数的函数图像判断"
"287","2024","全国甲卷-理科","8","single_choice","三角函数","核心考点为三角恒等变换，利用正切和角公式求值。"
"288","2024","全国甲卷-理科","9","multiple_choice","向量","核心考点为向量垂直与平行的坐标条件及充分必要性判断。"
"289","2024","全国甲卷-理科","11","single_choice","三角形、三角函数","核心考点为解三角形，利用正弦定理和三角恒等变换求正弦和。"
"290","2024","全国甲卷-文科","8","single_choice","三角函数","含三角函数的函数图像判断"
"291","2024","全国甲卷-文科","9","single_choice","三角函数","同角三角函数关系及两角和公式"
"292","2024","全国甲卷-文科","11","single_choice","三角形、三角函数","正弦定理和余弦定理求值"
"293","2024","全国甲卷-文科","12","fill_blank","三角函数","三角函数最值"
"294","2024","上海卷","5","fill_blank","向量","向量共线求参数"
"295","2024","上海卷","14","single_choice","三角函数","三角函数最小正周期"
"296","2024","上海卷","15","single_choice","向量","向量线性相关判断"
"297","2024","上海卷","20","solution","向量","向量数量积条件求范围"
"298","2024","天津卷","4","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"299","2024","天津卷","7","single_choice","三角函数","三角函数周期和最值"
"300","2024","天津卷","14","fill_blank","向量","向量线性表示和数量积最值"
"301","2024","天津卷","16","solution","三角形、三角函数","解三角形求边和角"
"302","2024","天津卷","18","solution","向量","向量数量积恒成立问题"
"303","2024","新高考II卷","3","single_choice","向量","向量垂直和模长运算"
"304","2024","新高考II卷","6","single_choice","三角函数","含三角函数的函数交点问题"
"305","2024","新高考II卷","9","multiple_choice","三角函数","三角函数的性质比较"
"306","2024","新高考II卷","13","fill_blank","三角函数","两角和的正弦公式"
"307","2024","新高考II卷","15","solution","三角形、三角函数","解三角形求周长"
"308","2024","新高考II卷","17","solution","向量","向量线性表示用于立体几何"
"309","2024","新高考II卷","19","solution","向量","向量对称和面积"
"310","2024","新高考I卷","3","single_choice","向量","向量垂直求参数"
"311","2024","新高考I卷","4","single_choice","三角函数","两角和与差的余弦公式"
"312","2024","新高考I卷","7","single_choice","三角函数","三角函数图像交点个数"
"313","2024","新高考I卷","15","solution","三角形、三角函数","解三角形求角和边"
"314","2024","新高考I卷","16","solution","三角形","三角形面积求直线方程"
"315","2025","全国II卷","5","single_choice","三角形","核心考点是解三角形，使用余弦定理求角A。"
"316","2025","全国II卷","8","single_choice","三角函数","核心考点是三角恒等变换，利用半角公式和差角公式求值。"
"317","2025","全国II卷","12","fill_blank","向量","核心考点是平面向量的垂直条件及模长计算。"
"318","2025","全国II卷","15","solution","三角函数","核心考点是三角函数的性质，包括求参数、值域和单调区间。"
"319","2025","全国II卷","16","solution","三角形","三角形面积求弦长"
"320","2025","全国I卷","4","single_choice","三角函数","核心考点是正切函数的对称中心。"
"321","2025","全国I卷","6","single_choice","向量","向量加法求实际风速"
"322","2025","全国I卷","11","multiple_choice","三角形、三角函数","核心考点是解三角形与三角恒等变换，涉及面积公式和边角关系。"
"323","2025","全国I卷","19","solution","三角函数","核心考点是三角函数的性质、最值及不等式证明。"
"324","2025","上海卷","5","fill_blank","三角函数","核心考点是余弦函数在给定区间上的值域。"
"325","2025","上海卷","12","fill_blank","向量","核心考点是平面向量的数量积及模长计算。"
"326","2025","上海卷","15","single_choice","三角形","三角形面积最值"
"327","2025","上海卷","16","single_choice","三角形","核心考点是三角形三边关系，判断能否构成三角形。"
"328","2025","上海卷","20","solution","向量","向量共线和数量积求参数范围"
"329","2025","上海卷","21","solution","三角函数","三角函数周期性质"
"330","2025","天津卷","2","single_choice","三角函数","核心考点是正弦函数的零点及充分必要条件。"
"331","2025","天津卷","8","single_choice","三角函数","核心考点是三角函数的图象与性质，包括单调性、对称轴、对称中心及最值。"
"332","2025","天津卷","14","fill_blank","向量","核心考点是平面向量的线性表示及数量积运算。"
"333","2025","天津卷","16","solution","三角形、三角函数","核心考点是解三角形与三角恒等变换，涉及正弦定理、余弦定理及倍角公式。"
"334","2025","天津卷","18","solution","三角形","三角形面积和角平分线"
